sort,type,n,avg
quicksort,random,5000,0.001064
quicksort,ordered,5000,0.052803
quicksort,reversed,5000,0.089586
quicksort,repeated,5000,0.052575
quicksortRandom,random,5000,0.006725
quicksortRandom,ordered,5000,0.007647
quicksortRandom,reversed,5000,0.006532
quicksortRandom,repeated,5000,0.062042
bubblesort,random,5000,0.167303
bubblesort,ordered,5000,0.000021
bubblesort,reversed,5000,0.182446
bubblesort,repeated,5000,0.000021
quicksort,random,10000,0.002087
quicksort,ordered,10000,0.209998
quicksort,reversed,10000,0.346578
quicksort,repeated,10000,0.209567
quicksortRandom,random,10000,0.013495
quicksortRandom,ordered,10000,0.012822
quicksortRandom,reversed,10000,0.012237
quicksortRandom,repeated,10000,0.226555
bubblesort,random,10000,0.710908
bubblesort,ordered,10000,0.000042
bubblesort,reversed,10000,0.704087
bubblesort,repeated,10000,0.000042
quicksort,random,20000,0.004457
quicksort,ordered,20000,0.837634
quicksort,reversed,20000,1.380180
quicksort,repeated,20000,0.837553
quicksortRandom,random,20000,0.027303
quicksortRandom,ordered,20000,0.028394
quicksortRandom,reversed,20000,0.025479
quicksortRandom,repeated,20000,0.871665
bubblesort,random,20000,2.977822
bubblesort,ordered,20000,0.000084
bubblesort,reversed,20000,2.816742
bubblesort,repeated,20000,0.000084
quicksort,random,40000,0.009741
quicksort,ordered,40000,3.349698
quicksort,reversed,40000,5.525100
quicksort,repeated,40000,3.353594
quicksortRandom,random,40000,0.059395
quicksortRandom,ordered,40000,0.053458
quicksortRandom,reversed,40000,0.053298
quicksortRandom,repeated,40000,3.428410
bubblesort,random,40000,12.404607
bubblesort,ordered,40000,0.000167
bubblesort,reversed,40000,11.333273
bubblesort,repeated,40000,0.000167
quicksort,random,80000,0.020672
quicksort,ordered,80000,13.429931
quicksort,reversed,80000,22.108011
quicksort,repeated,80000,13.401818
quicksortRandom,random,80000,0.111735
quicksortRandom,ordered,80000,0.103847
quicksortRandom,reversed,80000,0.104053
quicksortRandom,repeated,80000,13.572226
bubblesort,random,80000,50.744064
bubblesort,ordered,80000,0.000334
bubblesort,reversed,80000,45.351012
bubblesort,repeated,80000,0.000338
